Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2024-03-16 12:58:32.693 +0530,"Success",0:00:34,0,0,0,"20240316_125832.693/LogFile.txt","","",1
2024-03-16 13:07:55.096 +0530,"Aborted",0:00:24,1,0,0,"20240316_130755.096/LogFile.txt","","",0
2024-03-16 13:08:21.896 +0530,"Success",0:00:52,0,0,0,"20240316_130821.896/LogFile.txt","","",1
2024-03-16 13:10:08.679 +0530,"Success",0:01:08,0,0,0,"20240316_131008.679/LogFile.txt","","",1
2024-03-16 13:12:04.477 +0530,"Success",0:00:07,0,0,0,"20240316_131204.477/LogFile.txt","","",1
2024-03-16 13:13:06.150 +0530,"Success",0:00:08,0,0,0,"20240316_131306.150/LogFile.txt","","",1
2024-03-16 13:14:46.434 +0530,"Success",0:00:17,0,0,0,"20240316_131446.434/LogFile.txt","","",1
2024-03-16 13:16:58.180 +0530,"Failure",0:00:16,1,0,1,"20240316_131658.180/LogFile.txt","","File Not Found -- click Error - Could Not Open Image: digital_downloads_navBar",0
2024-03-16 13:18:36.266 +0530,"Failure",0:00:13,1,0,1,"20240316_131836.266/LogFile.txt","","File Not Found -- click Error - Could Not Open Image: Digital downloads",0
2024-03-16 13:20:32.752 +0530,"Aborted",0:00:08,1,0,0,"20240316_132032.752/LogFile.txt","","",0
2024-03-16 13:20:53.702 +0530,"Success",0:00:17,0,0,0,"20240316_132053.702/LogFile.txt","","",1
2024-03-16 13:25:17.779 +0530,"Success",0:00:28,0,0,0,"20240316_132517.779/LogFile.txt","","",1
2024-03-16 13:28:17.194 +0530,"Aborted",0:00:10,1,0,0,"20240316_132817.194/LogFile.txt","","",0
2024-03-16 13:28:38.284 +0530,"Failure",0:01:36,1,0,1,"20240316_132838.284/LogFile.txt","","Error Running Script Command -- click Error - Image Property List did not contain ""ImageName"" property",0
2024-03-16 13:32:47.163 +0530,"Aborted",0:02:17,1,0,1,"20240316_133247.163/LogFile.txt","","",0
2024-03-16 13:35:13.800 +0530,"Failure",0:02:15,1,0,0,"20240316_133513.800/LogFile.txt","","STUnknownMessage -- ERROR: No Such Command: 'select'",0
2024-03-16 13:37:52.081 +0530,"Aborted",0:01:12,1,0,1,"20240316_133752.081/LogFile.txt","","",0
2024-03-16 13:41:09.144 +0530,"Aborted",0:00:07,1,0,0,"20240316_134109.144/LogFile.txt","","",0
2024-03-16 13:41:25.861 +0530,"Failure",0:00:33,1,0,1,"20240316_134125.861/LogFile.txt","","File Not Found -- click Error - Could Not Open Image: (empty)",0
2024-03-18 13:13:26.197 +0530,"Failure",0:02:08,1,0,1,"20240318_131326.197/LogFile.txt","","File Not Found -- click Error - Could Not Open Image: (empty)",0
